profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
0,8,6,3,62,0,0,0,0,0,0,0,0,0,1
1104,8,7,1,63,300,15,1,60,40,1,0,0,1,0
641,8,7,2,63,200,10,4,60,30,0,1,1,0,0
0,8,7,3,63,0,0,0,0,0,0,0,0,0,1
1123,8,8,1,64,100,20,2,60,40,1,0,0,1,0
113,8,8,2,64,200,15,2,50,20,1,0,0,1,0
0,8,8,3,64,0,0,0,0,0,0,0,0,0,1
338,9,1,1,65,200,15,2,70,20,0,1,1,0,0
1206,9,1,2,65,300,20,2,70,40,0,1,1,0,0
0,9,1,3,65,0,0,0,0,0,0,0,0,0,1
1249,9,2,1,66,100,20,1,70,40,1,0,0,1,0
353,9,2,2,66,200,10,4,70,20,0,1,1,0,0
0,9,2,3,66,0,0,0,0,0,0,0,0,0,1
676,9,3,1,67,100,10,1,60,30,0,1,0,1,0
874,9,3,2,67,100,10,0.5,50,40,0,1,1,0,0
0,9,3,3,67,0,0,0,0,0,0,0,0,0,1
646,9,4,1,68,100,20,4,60,30,0,1,1,0,0
927,9,4,2,68,300,20,4,50,40,1,0,1,0,0
0,9,4,3,68,0,0,0,0,0,0,0,0,0,1
83,9,5,1,69,200,10,0.5,50,20,0,1,0,1,0
1150,9,5,2,69,100,20,4,60,40,0,1,0,1,0
0,9,5,3,69,0,0,0,0,0,0,0,0,0,1
680,9,6,1,70,200,15,1,60,30,0,1,0,1,0
364,9,6,2,70,100,15,0.5,70,20,1,0,0,1,0
0,9,6,3,70,0,0,0,0,0,0,0,0,0,1
958,9,7,1,71,100,15,1,50,40,1,0,0,1,0
596,9,7,2,71,200,10,1,60,30,1,0,1,0,0
0,9,7,3,71,0,0,0,0,0,0,0,0,0,1
182,9,8,1,72,200,10,2,60,20,1,0,1,0,0
614,9,8,2,72,200,10,2,60,30,1,0,1,0,0
0,9,8,3,72,0,0,0,0,0,0,0,0,0,1
512,10,1,1,73,200,20,0.5,50,30,1,0,0,1,0
783,10,1,2,73,300,20,4,70,30,1,0,1,0,0
0,10,1,3,73,0,0,0,0,0,0,0,0,0,1
1250,10,2,1,74,200,20,1,70,40,1,0,0,1,0
157,10,2,2,74,100,15,0.5,60,20,0,1,1,0,0
0,10,2,3,74,0,0,0,0,0,0,0,0,0,1
873,10,3,1,75,300,20,0.5,50,40,1,0,1,0,0
689,10,3,2,75,200,15,2,60,30,1,0,0,1,0
0,10,3,3,75,0,0,0,0,0,0,0,0,0,1
763,10,4,1,76,100,20,2,70,30,1,0,1,0,0
153,10,4,2,76,300,20,0.5,60,20,1,0,1,0,0
0,10,4,3,76,0,0,0,0,0,0,0,0,0,1
587,10,5,1,77,200,10,0.5,60,30,0,1,1,0,0
558,10,5,2,77,300,20,2,50,30,0,1,0,1,0
0,10,5,3,77,0,0,0,0,0,0,0,0,0,1
1047,10,6,1,78,300,10,2,60,40,1,0,1,0,0
1280,10,6,2,78,200,10,4,70,40,1,0,0,1,0
0,10,6,3,78,0,0,0,0,0,0,0,0,0,1
742,10,7,1,79,100,15,1,70,30,1,0,1,0,0
354,10,7,2,79,300,10,4,70,20,0,1,1,0,0
0,10,7,3,79,0,0,0,0,0,0,0,0,0,1
324,10,8,1,80,300,20,1,70,20,0,1,1,0,0
1130,10,8,2,80,200,15,2,60,40,0,1,0,1,0
0,10,8,3,80,0,0,0,0,0,0,0,0,0,1
91,11,1,1,81,100,10,1,50,20,1,0,0,1,0
870,11,1,2,81,300,15,0.5,50,40,1,0,1,0,0
0,11,1,3,81,0,0,0,0,0,0,0,0,0,1
1008,11,2,1,82,300,20,4,50,40,0,1,0,1,0
686,11,2,2,82,200,10,2,60,30,1,0,0,1,0
0,11,2,3,82,0,0,0,0,0,0,0,0,0,1
703,11,3,1,83,100,10,4,60,30,1,0,0,1,0
284,11,3,2,83,200,15,4,60,20,0,1,0,1,0
0,11,3,3,83,0,0,0,0,0,0,0,0,0,1
620,11,4,1,84,200,20,2,60,30,1,0,1,0,0
217,11,4,2,84,100,10,0.5,60,20,1,0,0,1,0
0,11,4,3,84,0,0,0,0,0,0,0,0,0,1
724,11,5,1,85,100,15,0.5,70,30,1,0,1,0,0
