profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
798,7,2,2,50,300,15,0.5,70,30,1,0,0,1,0
0,7,2,3,50,0,0,0,0,0,0,0,0,0,1
15,7,3,1,51,300,15,0.5,50,20,0,1,1,0,0
400,7,3,2,51,100,15,2,70,20,1,0,0,1,0
0,7,3,3,51,0,0,0,0,0,0,0,0,0,1
726,7,4,1,52,300,15,0.5,70,30,1,0,1,0,0
413,7,4,2,52,200,20,2,70,20,0,1,0,1,0
0,7,4,3,52,0,0,0,0,0,0,0,0,0,1
681,7,5,1,53,300,15,1,60,30,0,1,0,1,0
142,7,5,2,53,100,20,4,50,20,0,1,0,1,0
0,7,5,3,53,0,0,0,0,0,0,0,0,0,1
913,7,6,1,54,100,15,2,50,40,0,1,1,0,0
1084,7,6,2,54,100,15,0.5,60,40,1,0,0,1,0
0,7,6,3,54,0,0,0,0,0,0,0,0,0,1
831,7,7,1,55,300,10,2,70,30,1,0,0,1,0
534,7,7,2,55,300,10,1,50,30,0,1,0,1,0
0,7,7,3,55,0,0,0,0,0,0,0,0,0,1
862,7,8,1,56,100,20,4,70,30,0,1,0,1,0
1166,7,8,2,56,200,15,0.5,70,40,0,1,1,0,0
0,7,8,3,56,0,0,0,0,0,0,0,0,0,1
1060,8,1,1,57,100,20,2,60,40,0,1,1,0,0
236,8,1,2,57,200,10,1,60,20,1,0,0,1,0
0,8,1,3,57,0,0,0,0,0,0,0,0,0,1
836,8,2,1,58,200,20,2,70,30,1,0,0,1,0
1176,8,2,2,58,300,15,1,70,40,1,0,1,0,0
0,8,2,3,58,0,0,0,0,0,0,0,0,0,1
754,8,3,1,59,100,20,1,70,30,0,1,1,0,0
677,8,3,2,59,200,10,1,60,30,0,1,0,1,0
0,8,3,3,59,0,0,0,0,0,0,0,0,0,1
323,8,4,1,60,200,20,1,70,20,0,1,1,0,0
658,8,4,2,60,100,10,0.5,60,30,0,1,0,1,0
0,8,4,3,60,0,0,0,0,0,0,0,0,0,1
